Restaurant,Category,Neighborhood,Address,Phone Number,Rating
African,Istar,Etobicoke,235 Dixon Rd.,416.247.5624,4.00
African,Cassava Cuisine,Bloorcourt,685 Lansdowne Ave,416.551.6558,4.33
African,Sahan,Scarborough,2010 Lawrence Ave. East,416.759.7242,5.00
African,Naija Jollof,Mississauga,7215 Goreway Dr.,905.676.1515,5.00
African,Chakula Hut,East York,1871 O'Connor Dr.,416.752.2786,3.00
African,Simba Grill,East York,375 Donlands Avenue,416.429.6057,5.00
Asian,Nai Nai Noodles,King West,852 King Street West,647.830.0320,3.50
Asian,Sky Flower,Little Italy,Not Found,Not Found,4.00
Asian,Xiang Long Zhua Zhua,North York,5 Northtown Way,647.748.8118,5.00
Asian,Chaihana,North York,1000 Finch Ave. West,416.650.1973,4.75
Asian,Hui Lau Shan,Yonge & Dundas,Not Found,Not Found,5.00
Asian,Chotto Matte Toronto,Financial District,161 Bay St,416.988.8097,4.70
Asian,Lion City Restaurant,Mississauga,"1177 Central Pkwy W, Unit 70",905.281.0860,4.50
Asian,Three Monks and a Duck,West Queen West,811 Queen St W,416.901.9588,4.50
Asian,Awas Tea Noodle,Chinatown,307 Spadina Ave,647.352.8281,4.67
Asian,Gdous on Bloor,Annex,495 Bloor St West,Not Found,-
Asian,Seoul Shakers,Bloordale Village,1241 Bloor Street West,Not Found,3.86
Asian,Opium Bar,Dundas West,1321 Dundas St W,647.828.9193,4.20
Asian,Chawk Bazar,Scarborough,1738 Lawrence Ave. East,437.886.6329,4.75
Asian,Mother Tongue,Entertainment District,348 Adelaide Street West,647.243.5858,3.53
Asian,Cafe Bon Bon,Richmond Hill,"550 Hwy 7, Unit #90",905.597.3166,4.75
Asian,Azyun Restaurant,Markham,144 Main St N #17,905.554.1666,4.50
Asian,The Haam,Entertainment District,342 Adelaide St. W.,416.977.7258,3.50
Asian,Kid Lee,Financial District,100 King Street W.,647.352.0092,2.60
Asian,Smile Dessert,Scarborough,3262 Midland Ave.,416.609.9996,3.00
Asian,The Dessert Kitchen,Harbord Village,73 Harbord St,647.350.1911,4.63
Asian,Mega Street Food Complex,North York,5629 Yonge St.,416.223.8882,4.60
Asian,Meet Fresh,North York,5315 Yonge St.,416.546.5139,3.33
Asian,Phoenix Cafe,Yonge & Dundas,10A Edward St.,416.546.1113,4.75
Asian,Chi Chop,Yonge & Dundas,372 Yonge St,416.591.8818,4.60
Asian,Flaming Kitchen,Markham,3235 Hwy 7,905.604.4880,4.25
Asian,Chop Chop,Dundas West,771 Dundas Street West,Not Found,4.56
Asian,Oxtail Pho & Banh Mi,Dundas West,Not Found,Not Found,4.00
Asian,Fat Ninja Bite,Scarborough,3517 Kennedy Road,416.321.8866,4.67
Asian,Lake Inez,Little India,1471 Gerrard St. E.,416.792.1590,4.53
Asian,Lee Chen Asian Bistro on King,Entertainment District,214 King Street West,416.519.8688,4.14
Asian,Basil Box on Queen,Queen West,441 Queen Street West,416.979.8000,5.00
Asian,Lee Restaurant,King West,603 King Street West,416.504.7867,3.67
Asian,Spicy Legend,Markham,4300 Steeles Avenue East Markham,647.863.0630,-
Asian,Petit Potato,North York,10 Ravel Rd.,416.756.3311,5.00
Asian,Te,Ossington,70 Ossington Ave. ,647.348.8009,3.80
Asian,Basil Box,Yonge & Dundas,351 Yonge St.,416.351.8000,4.45
Asian,Magic Noodle,Harbord Village,93 Harbord St.,647.345.8839,3.13
Asian,Shameful Tiki Room,Parkdale,1378 Queen St. West,Not Found,3.94
Asian,Rickshaw Bar,Queen West,685 Queen St. West,647.352.1227,4.67
Asian,Miss Thing's,Parkdale,1279 Queen St. West,416.516.8677,3.64
Barbecue,Art of BBQ,Scarborough,2478 Kingston Rd.,416.579.1217,4.75
Barbecue,Meat & Pie Co.,King West,212 King Street West,416.901.6328,4.45
Barbecue,The BarBQ Factory,East York,1559 O'Connor Drive,647.352.1979,4.78
Barbecue,Beauty Eats,North York,2901 Bayview Avenue,647.943.6782,4.33
Barbecue,Chainsmoker,North York,3513 Bathurst Street,647.350.8466,3.67
Barbecue,Blackjack BBQ,Leslieville,1044 Gerrard St E,647.348.0088,4.38
Barbecue,Beach Hill Smokehouse,Upper Beaches,172 Main St.,416.985.0133,5.00
Barbecue,Earlscourt BBQ,Corso Italia,1278 St. Clair Ave. West,Not Found,4.09
Barbecue,Joe Bird,Harbourfront,207 Queens Quay W,647.977.2767,4.06
Barbecue,Appalachia BBQ,Etobicoke,2416 Lake Shore Blvd W.,416.252.2333,4.00
Barbecue,Stockyards Smokehouse and Larder,St. Clair West,699 St. Clair Avenue West,416.658.9666,4.15
Barbecue,Cherry Street Bar-B-Que,Port Lands,275 Cherry St.,416.461.5111,4.00
Barbecue,Adamson Barbecue,Bayview and Leaside,176 Wicksteed Avenue,647.559.2080,4.09
Barbecue,Little AAA,Leslieville,Not Found,Not Found,3.00
Barbecue,Trinity Common,Kensington Market,303 Augusta Ave.,647.346.3030,4.00
Barbecue,Memphis BBQ,Woodbridge,8074 Islington Ave,905.265.9003,4.75
Barbecue,Smoque N Bones,West Queen West,869 Queen St. West,647.341.5730,4.36
Barbecue,Greenwood Smokehouse BBQ,Danforth,673 Danforth Ave.,416.469.2270,4.50
Barbecue,The Carbon Bar,Corktown,99 Queen St. E,416.947.7000,4.17
Barbecue,Hogtown Smoke,Beaches,1959 Queen St. E,416.691.9009,4.40
Barbecue,Holy Smokez,Mississauga,1133 Dundas Street East Mississauga,647.799.2273,4.00
Barbecue,Triple A Bar,King East,138 Adelaide St. E.,416.850.2726,4.43
Barbecue,Stack Restaurant,Yonge & Lawrence,3265 Yonge Street,647.346.1416,3.80
Barbecue,Leslieville Pumps,Leslieville,913 Queen Street East,416.465.1313,3.93
Barbecue,Barque Smokehouse,Roncesvalles Village,299 Roncesvalles Avenue,416.532.7700,4.29
Barbecue,Big Bone BBQ & Wicked Wings,Markham,Not Found,Not Found,4.00
Barbecue,Pig Out BBQ,Annex,650 Spadina Avenue,416.792.6120,4.50
Barbecue,Boneyard Grill,Thornhill,10 Disera Drive,905.762.0825,-
Barbecue,Breakwall BBQ,Beaches,1910 Queen Street East,416.699.4000,4.33
Barbecue,AAA Public House,East Chinatown,598 Gerrard St East,416.901.8711,-
Barbecue,Cherry Street Bar-B-Que (Assembly Chef's Hall),Financial District,111 Richmond Street West,416.461.5111,4.50
Barbecue,Bill's Pit,Woodbridge,1200 Hwy 7 West Woodbridge,905.597.7706,-
Barbecue,Flame & Smoke,Dundas West,707 Dundas St W,647.495.9097,-
Barbecue,Tung Tak BBQ House,Scarborough,3833 Midland Avenue,416.298.1395,-
Brazilian,Uai Pizzeria,St. Clair West,1262 St Clair Ave W,416.654.4824,3.20
Brazilian,Samba Brazil Eatery,St. Clair West,Not Found,Not Found,4.80
Brazilian,Rio 40,Corso Italia,1256 St. Clair Avenue West,416.654.6393,3.67
Brazilian,Copacabana Restaurant (Adelaide),Entertainment District,Not Found,Not Found,2.29
Brazilian,Touro Churrascaria,Richmond Hill,"125 York Boulevard, Richmond Hill",905.738.6876,4.00
Brazilian,Copacabana Restaurant,Yonge & Eglinton,150 Eglinton Avenue East,416.916.2099,4.00
Brazilian,Sabor Brasil,St. Clair West,1702 St. Clair Ave West,647.340.4036,5.00
Brazilian,Rodeo Brazilian Steakhouse,Danforth,95 Danforth Ave.,416.465.0969,3.00
Burgers,Matty's Patty's Burger Club,West Queen West,923 Queen St. West,Not Found,4.00
Burgers,Slayer Burger,East York,1400 O'Connor Dr,416.846.3786,3.80
Burgers,Drop Shop,Liberty Village,116 Atlantic Ave.,Not Found,4.75
Burgers,The Bullger,Danforth,Not Found,Not Found,4.71
Burgers,Happy Burger,Little Italy,76 Lippincott St,647.352.7777,5.00
Burgers,Matt's Burger Lab,Parkdale,1205 Queen St W,416.792.4375,4.50
Burgers,Aunty Lucy's,Annex,296 Brunswick Avenue,Not Found,4.75
Burgers,Nice Nice x Extra Burger,Parkdale,269 Dunn Ave,Not Found,5.00
Burgers,Fearless Meat,Beaches,884 Kingston Rd,647.484.4488,4.83
Burgers,Gold Standard on Queen,Parkdale,1574 Queen St W,Not Found,3.33
Burgers,Plan B Burgers,Etobicoke,2943A Bloor St West,416.231.4444,4.33
Burgers,Jumbo Burgers,Junction,685 Runnymede Road,416.763.6961,4.20
Burgers,Burgers n' Fries Forever,Ossington,182 Ossington Avenue,416.588.3456,4.88
Burgers,Extra Burger,Dundas West,1357 Dundas Street West,Not Found,5.00
Burgers,Burgers Park,North York,10 William Sylvester Drive,416.491.1954,4.57
Burgers,Cabano's Comfort Food,Yonge & Bloor,75 St. Nicholas St,Not Found,5.00
Burgers,Burger Shack,Yonge & Eglinton,233 Eglinton Avenue West,416.487.1974,4.09
Burgers,Gold Standard,Roncesvalles Village,385 Roncesvalles Ave,Not Found,4.67
Burgers,Ozzy's Burgers,Kensington Market,66 Nassau St.,416.862.7983,4.09
Burgers,Planta Burger,Financial District,4 Temperance St,647.348.7000,3.48
Burgers,Kookoo's Kitchen,Woodbridge,5100 Rutherford Road Woodbrige,905.893.9153,2.50
Burgers,Rudy on College,Little Italy,619 College St,647.748.7839,4.44
Burgers,Shamrock Burgers,Scarborough,6109 Kingston Road,416.282.0121,5.00
Burgers,Apache Burgers,Etobicoke,5236 Dundas Street West,416.233.3046,3.71
Burgers,Woody's Burgers,Etobicoke,3795 Lake Shore Boulevard West,416.546.2093,3.94
Burgers,Mama's Boys Burgers,Scarborough,480 Danforth Rd.,416.269.6262,4.86
Burgers,Johnny's Charbroiled Hamburgers,Scarborough,2595 Victoria Park Avenue,416.491.7222,4.05
Burgers,Jackson's Burgers,Yonge & Dundas,38 Elm St.,647.748.5683,3.33
Burgers,The Burgernator,Kensington Market,269 Augusta Ave.,647.748.0990,4.06
Burgers,Five Guys Burgers and Fries (Yonge St.),Yonge & Dundas,329 Yonge Street,416.591.0404,4.71
Burgers,Frankie's,West Queen West,994 Queen St. West,416.675.9009,3.83
Burgers,Golden Star,North York,7123 Yonge Street,905.889.6891,4.00
Burgers,Burger Stomper,Danforth,364 Danforth Avenue,647.347.7867,4.14
Burgers,Harry's Drive-In,Scarborough,2280 Lawrence Ave East,416.759.5980,4.00
Burgers,Burger's Priest (Yonge St.),Yonge & Lawrence,3397 Yonge St.,647.346.0617,3.56
Burgers,Holy Chuck Burgers,Yonge & St. Clair,1450 Yonge St.,416.962.4285,4.09
Burgers,Five Guys Burgers and Fries,North York,7600 Weston Road,905.856.7007,4.25
Burgers,Burger Cellar,Yonge & Lawrence,3391 Yonge Street.,647.345.0084,4.00
Burgers,Burger's Priest,Beaches,1636 Queen St. East,647.346.0617,4.18
Burgers,Great Burger Kitchen,Leslieville,1056 Gerrard St E,416.778.0111,3.92
Burritos,Chin Chin,CityPlace,363 Bremner Blvd,416.901.1990,4.25
Burritos,Chino Locos,Leslieville,4 Greenwood Avenue,647.345.5626,3.47
Burritos,Quesada Mexican Grill,Entertainment District,234 Wellington Street West,416.644.0876,-
Burritos,Burrito Boyz (Adelaide St.),Entertainment District,224 Adelaide St. West,647.439.4065,3.86
Burritos,Burrito Boyz (College St.),Little Italy,575 College St. West,416.588.2699,3.64
Burritos,Big Fat Burrito,Kensington Market,285 Augusta Avenue,416.913.7487,4.56
Burritos,Fat Bastard Burrito Co,Etobicoke,1180 The Queensway,416.252.0202,4.13
Burritos,Chipotle (Yonge & Eg),Yonge & Eglinton,2323 Yonge Street #100,416.489.8601,3.43
Burritos,Bolet's Burrito,King East,134 Lower Sherbourne,416.364.5811,4.60
Burritos,Fat Bastard Burrito (King West),King West,628 King St W,647.748.4586,-
Burritos,Burrito Boyz (Lakeshore),Etobicoke,3803 Lake Shore Blvd. West,416.251.2699,4.60
Burritos,Snack Shack,Etobicoke,3260 Lake Shore Blvd. W.,647.508.5777,3.00
Burritos,Burrito Bandidos (Yonge St.),Yonge & College,2 Grosvenor St.,647.352.4770,5.00
Burritos,New York Subway,Queen West,520 Queen Street West,416.703.4496,4.67
Burritos,Bar Burrito,Yonge & Wellesley,419 Yonge Street,416.922.4343,4.00
Burritos,Fat Bastard Burrito Co. (Liberty Village),Liberty Village,126 Atlantic Avenue   ,647.748.5550,3.80
Burritos,Fat Bastard Burrito Co. (Yonge St.),Yonge & Wellesley,634 Yonge St.,416.923.3222,3.50
Burritos,Freshii,Queen West,140 Spadina Avenue (on Richmond),416.203.8456,-
Burritos,Burrito Gordito,Entertainment District,120 Peter St.,647.343.8758,-
Burritos,Burrito Place,North York,5653 Yonge St.,416.838.9888,-
Burritos,Grillies,Danforth East,Not Found,Not Found,5.00
Burritos,Freshwest Grill,Financial District,100 Wellington Street West,416.861.8163,4.50
Burritos,Fat Bastard Burrito (Adelaide),Entertainment District,254 Adelaide Street West,647.345.8835,3.50
Burritos,Mucho Burrito (Queen St.),Queen West,263 Queen St. West,416.335.4533,3.00
Burritos,Burrito Bandidos (Beaches),Beaches,1614 Queen St. East,416.691.8080,2.33
Burritos,Tacorrito (Queen West),Queen West,657 Queen St W,416.646.8226,5.00
Burritos,Burrito Boyz (Dundas East),Yonge & Dundas,74 Dundas Street East,647.348.2699,4.00
Burritos,Fat Bastard Burrito (College),University of Toronto,187 College Street,647.348.5551,4.00
Burritos,Get & Go Burrito,North York,"1077 Wilson Ave., Unit #8",416.916.8750,3.00
Burritos,Tacorrito (Church St.),Church Wellesley Village,556 Church St.,416.546.8226,2.75
Burritos,Mucho Burrito,Financial District,100 King St. West,416.203.9920,1.67
Burritos,Fiesta Burrito,Queen West,109 McCaul Street,647.347.4300,-
Burritos,Bar Burrito (North York),North York,4918 Yonge Street,416.733.2424 ,-
Burritos,Burrito Boyz (Parkdale),Parkdale,1736 Queen St West,416.537.2699,1.75
Burritos,Taco Del Mar,Financial District,127 Bremner Blvd,647.344.4366,1.00
Burritos,Burrito Boyz (Jutland),Etobicoke,21 Jutland Rd,416.503.2699,-
Burritos,Bar Burrito (Mt. Sinai),Yonge & College,600 University Ave,Not Found,-
Burritos,Burrito Express,Dundas West,1745 Dundas Street West,416.588.6666,-
Burritos,Burro Burrito (Richmond West),Entertainment District,388 Richmond St.,647.349.6688,-
Burritos,Burrito Caliente Latin Grill,Etobicoke,5555 Eglinton Ave. W.,416.877.8010,4.50
Caribbean,Smoke n' Roti,North York,3320 Keele St,416.633.7171,5.00
Caribbean,Cool Runnings,Scarborough,3095 Eglinton Ave E.,Not Found,5.00
Caribbean,Patty Stop,Scarborough,5506 Lawrence Ave. E.,Not Found,4.50
Caribbean,Diner's Corner,Yonge & Bloor,714 Yonge St.,416.929.7031,4.00
